team,first_pick,side,bans,picks
Talon,True,The Dire,"['Enigma', 'Leshrac', 'Lina', 'Beastmaster', 'Dawnbreaker', 'Morphling', 'Troll Warlord']","['Marci', 'Shadow Fiend', 'Tusk', 'Crystal Maiden', 'Slardar']"
Team Secret,True,The Radiant,"['Enigma', 'Shadow Fiend', 'Lifestealer', 'Chen', 'Mirana', 'Mars', 'Primal Beast']","['Leshrac', 'Clockwerk', 'Lycan', 'Jakiro', 'Lone Druid']"
Talon,True,The Dire,"['Enigma', 'Shadow Fiend', 'Lifestealer', 'Chen', 'Mirana', 'Mars', 'Primal Beast']","['Leshrac', 'Clockwerk', 'Lycan', 'Jakiro', 'Lone Druid']"
Thunder Awaken,True,The Radiant,"['Tiny', 'Nyx Assassin', 'Pudge', 'Batrider', 'Enigma', 'Dawnbreaker', 'Pangolier']","['Undying', 'Shadow Fiend', 'Snapfire', 'Earth Spirit', 'Doom']"
beastcoast,True,The Dire,"['Tiny', 'Nyx Assassin', 'Pudge', 'Batrider', 'Enigma', 'Dawnbreaker', 'Pangolier']","['Undying', 'Shadow Fiend', 'Snapfire', 'Earth Spirit', 'Doom']"
Thunder Awaken,True,The Radiant,"['Clockwerk', 'Silencer', 'Snapfire', 'Faceless Void', 'Terrorblade', 'Templar Assassin', 'Lina']","['Undying', 'Gyrocopter', 'Dawnbreaker', 'Zeus', 'Lion']"
beastcoast,True,The Dire,"['Clockwerk', 'Silencer', 'Snapfire', 'Faceless Void', 'Terrorblade', 'Templar Assassin', 'Lina']","['Undying', 'Gyrocopter', 'Dawnbreaker', 'Zeus', 'Lion']"
Team Aster,True,The Dire,"['Nyx Assassin', 'Pangolier', 'Morphling', 'Sniper', 'Batrider', 'Mars', 'Beastmaster']","['Marci', 'Leshrac', 'Shadow Demon', 'Broodmother', 'Razor']"
Team Spirit,True,The Radiant,"['Nyx Assassin', 'Pangolier', 'Morphling', 'Sniper', 'Batrider', 'Mars', 'Beastmaster']","['Marci', 'Leshrac', 'Shadow Demon', 'Broodmother', 'Razor']"
Team Aster,True,The Dire,"['Nyx Assassin', 'Pangolier', 'Drow Ranger', 'Sniper', 'Morphling', 'Puck', 'Death Prophet']","['Marci', 'Shadow Fiend', 'Oracle', 'Broodmother', 'Tiny']"
Team Spirit,True,The Radiant,"['Nyx Assassin', 'Pangolier', 'Drow Ranger', 'Sniper', 'Morphling', 'Puck', 'Death Prophet']","['Marci', 'Shadow Fiend', 'Oracle', 'Broodmother', 'Tiny']"
Tundra Esports,True,The Dire,"['Crystal Maiden', 'Undying', 'Slark', 'Queen of Pain', 'Lifestealer', 'Naga Siren', 'Drow Ranger']","['Marci', 'Lone Druid', 'Brewmaster', 'Invoker', 'Disruptor']"
Entity,True,The Radiant,"['Crystal Maiden', 'Undying', 'Slark', 'Queen of Pain', 'Lifestealer', 'Naga Siren', 'Drow Ranger']","['Marci', 'Lone Druid', 'Brewmaster', 'Invoker', 'Disruptor']"
